Wavelength(Microns),Refractive Index,Extinction Coefficient,
0.10633,1.34615647059,0.0805697058824j,
0.10798,1.34635058824,0.0800358823529j,
0.10965,1.34654705882,0.0794955882353j,
0.11134,1.34674588235,0.0789488235294j,
0.11307,1.34694941176,0.0783891176471j,
0.11481,1.34715411765,0.0778261764706j,
0.11659,1.34736352941,0.0772502941176j,
0.1184,1.34757647059,0.0766647058824j,
0.12023,1.34779176471,0.0760726470588j,
0.12209,1.34801058824,0.0754708823529j,
0.12398,1.34823294118,0.0748594117647j,
0.12589,1.34845764706,0.0742414705882j,
0.12784,1.34868705882,0.0736105882353j,
0.12982,1.34892,0.07297j,
0.13183,1.34915647059,0.0723197058824j,
0.13386,1.34939529412,0.0716629411765j,
0.13594,1.34964,0.07099j,
0.13804,1.34988705882,0.0703105882353j,
0.14017,1.35013764706,0.0696214705882j,
0.14234,1.35039294118,0.0689194117647j,
0.14454,1.35065176471,0.0682076470588j,
0.14678,1.35091529412,0.0674829411765j,
0.14905,1.35118235294,0.0667485294118j,
0.15136,1.35145411765,0.0660011764706j,
0.1537,1.35172941176,0.0652441176471j,
0.15608,1.35200941176,0.0644741176471j,
0.15849,1.35229294118,0.0636944117647j,
0.16094,1.35258117647,0.0629017647059j,
0.16343,1.35287411765,0.0620961764706j,
0.16596,1.35317176471,0.0612776470588j,
0.16853,1.35347411765,0.0604461764706j,
0.17113,1.35378,0.059605j,
0.17378,1.35409176471,0.0587476470588j,
0.17647,1.35440823529,0.0578773529412j,
0.1792,1.35472941176,0.0569941176471j,
0.18197,1.35505529412,0.0560979411765j,
0.18478,1.35538588235,0.0551888235294j,
0.18764,1.35572235294,0.0542635294118j,
0.19055,1.35606470588,0.0533220588235j,
0.19349,1.35641058824,0.0523708823529j,
0.19649,1.35676352941,0.0514002941176j,
0.19953,1.35712117647,0.0504167647059j,
0.20261,1.35748352941,0.0494202941176j,
0.20575,1.35785294118,0.0484044117647j,
0.20893,1.35828522167,0.0481616256158j,
0.21216,1.35876256158,0.0484321182266j,
0.21544,1.35924729064,0.0487067980296j,
0.21878,1.3597408867,0.0489865024631j,
0.22216,1.36024039409,0.0492695566502j,
0.2256,1.36074876847,0.049557635468j,
0.22909,1.36126453202,0.0498499014778j,
0.23263,1.36178768473,0.0501463546798j,
0.23623,1.36231970443,0.0504478325123j,
0.23988,1.3628591133,0.0507534975369j,
0.24359,1.36340738916,0.0510641871921j,
0.24736,1.36396453202,0.0513799014778j,
0.25119,1.36453054187,0.0517006403941j,
0.25507,1.36510394089,0.0520255665025j,
0.25902,1.36568768473,0.0523563546798j,
0.26303,1.36628029557,0.0526921674877j,
0.2671,1.3668817734,0.0530330049261j,
0.27123,1.36749211823,0.0533788669951j,
0.27542,1.36811133005,0.0537297536946j,
0.27968,1.3687408867,0.0540865024631j,
0.28401,1.36938078818,0.0544491133005j,
0.2884,1.37002955665,0.0548167487685j,
0.29286,1.37068866995,0.0551902463054j,
0.29739,1.37135812808,0.0555696059113j,
0.302,1.37203940887,0.0559556650246j,
0.30667,1.37272955665,0.0563467487685j,
0.31141,1.37343004926,0.0567436945813j,
0.31623,1.37414236453,0.0571473399015j,
0.32112,1.37486502463,0.0575568472906j,
0.32609,1.37559950739,0.0579730541872j,
0.33113,1.37634433498,0.0583951231527j,
0.33625,1.37710098522,0.0588238916256j,
0.34146,1.37787093596,0.0592601970443j,
0.34674,1.37865123153,0.059702364532j,
0.3521,1.37944334975,0.0601512315271j,
0.35755,1.38024876847,0.060607635468j,
0.36308,1.38106600985,0.0610707389163j,
0.36869,1.38189507389,0.0615405418719j,
0.3744,1.38273891626,0.0620187192118j,
0.38019,1.38359458128,0.0625035960591j,
0.38607,1.3844635468,0.0629960098522j,
0.39204,1.38534581281,0.0634959605911j,
0.39811,1.38624285714,0.0640042857143j,
0.40427,1.38715320197,0.0645201477833j,
0.41052,1.3880416,0.0649844j,
0.41687,1.3885496,0.0647939j,
0.42332,1.3890656,0.0646004j,
0.42987,1.3895896,0.0644039j,
0.43652,1.3901216,0.0642044j,
0.44327,1.3906616,0.0640019j,
0.45013,1.3912104,0.0637961j,
0.45709,1.3917672,0.0635873j,
0.46416,1.3923328,0.0633752j,
0.47134,1.3929072,0.0631598j,
0.47863,1.3934904,0.0629411j,
0.48603,1.3940824,0.0627191j,
0.49355,1.394684,0.0624935j,
0.50119,1.3952952,0.0622643j,
0.50894,1.3959152,0.0620318j,
0.51681,1.3965448,0.0617957j,
0.52481,1.3971848,0.0615557j,
0.53293,1.3978344,0.0613121j,
0.54117,1.3984936,0.0610649j,
0.54954,1.3991632,0.0608138j,
0.55804,1.3998432,0.0605588j,
0.56667,1.4005336,0.0602999j,
0.57544,1.4012352,0.0600368j,
0.58434,1.4019472,0.0597698j,
0.59338,1.4026704,0.0594986j,
0.60256,1.4034048,0.0592232j,
0.61188,1.4041504,0.0589436j,
0.62135,1.404908,0.0586595j,
0.63096,1.4056768,0.0583712j,
0.64072,1.4064576,0.0580784j,
0.65063,1.4072504,0.0577811j,
0.66069,1.4080552,0.0574793j,
0.67091,1.4088728,0.0571727j,
0.68129,1.4097032,0.0568613j,
0.69183,1.4105464,0.0565451j,
0.70253,1.4114024,0.0562241j,
0.7134,1.412272,0.055898j,
0.72444,1.4131552,0.0555668j,
0.73564,1.4140512,0.0552308j,
0.74702,1.4149616,0.0548894j,
0.75858,1.4158864,0.0545426j,
0.77031,1.4168248,0.0541907j,
0.78223,1.4177784,0.0538331j,
0.79433,1.4187464,0.0534701j,
0.80662,1.4197296,0.0531014j,
0.81909,1.42023831461,0.0528978651685j,
0.83176,1.42057048689,0.052755505618j,
0.84463,1.42090790262,0.0526108988764j,
0.8577,1.4212505618,0.0524640449438j,
0.87096,1.42159820225,0.0523150561798j,
0.88444,1.42195161049,0.0521635955056j,
0.89812,1.42231026217,0.0520098876404j,
0.91201,1.42267441948,0.0518538202247j,
0.92612,1.42304434457,0.0516952808989j,
0.94045,1.42342003745,0.0515342696629j,
0.95499,1.42380123596,0.0513708988764j,
0.96977,1.42418872659,0.0512048314607j,
0.98477,1.42458198502,0.0510362921348j,
1.0,1.42498127341,0.0508651685393j,
1.0155,1.42538764045,0.050691011236j,
1.0312,1.42579925094,0.0505146067416j,
1.0471,1.42621610487,0.0503359550562j,
1.0633,1.42664082397,0.0501539325843j,
1.0798,1.42704307692,0.0499569230769j,
1.0965,1.4273,0.0497j,
1.1134,1.42756,0.04944j,
1.1307,1.42782615385,0.0491738461538j,
1.1481,1.42809384615,0.0489061538462j,
1.1659,1.42836769231,0.0486323076923j,
1.1839,1.42864461538,0.0483553846154j,
1.2023,1.42892769231,0.0480723076923j,
1.2209,1.42904512987,0.0479097402597j,
1.2398,1.42910649351,0.047787012987j,
1.2589,1.42916850649,0.047662987013j,
1.2784,1.42923181818,0.0475363636364j,
1.2982,1.4292961039,0.0474077922078j,
1.3183,1.42936136364,0.0472772727273j,
1.3386,1.42942727273,0.0471454545455j,
1.3594,1.42949480519,0.0470103896104j,
1.3804,1.42956298701,0.046874025974j,
1.4017,1.42963214286,0.0467357142857j,
1.4234,1.4297025974,0.0465948051948j,
1.4454,1.42977402597,0.0464519480519j,
1.4678,1.42984675325,0.0463064935065j,
1.4905,1.42992045455,0.0461590909091j,
1.5136,1.42999545455,0.0460090909091j,
1.537,1.42987978142,0.046j,
1.5608,1.42974972678,0.046j,
1.5849,1.42961803279,0.046j,
1.6094,1.42948415301,0.046j,
1.6343,1.42934808743,0.046j,
1.6596,1.42920983607,0.046j,
1.6853,1.42906939891,0.046j,
1.7113,1.42880441176,0.0459348039216j,
1.7378,1.42841470588,0.0458049019608j,
1.7647,1.42801911765,0.0456730392157j,
1.792,1.42761764706,0.0455392156863j,
1.8197,1.42721029412,0.0454034313725j,
1.8478,1.42679705882,0.0452656862745j,
1.8764,1.42637647059,0.0451254901961j,
1.9055,1.4259375,0.045j,
1.9349,1.4254125,0.045j,
1.9649,1.42487678571,0.045j,
1.9953,1.42433392857,0.045j,
2.0261,1.4235,0.04495j,
2.0575,1.42220247934,0.0448202479339j,
2.0893,1.42088842975,0.0446888429752j,
2.1216,1.41955371901,0.0445553719008j,
