WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
0.10633,0.890040769231,1.71450846154,
0.10798,0.85211,1.737435,
0.10965,0.817357692308,1.74587692308,
0.11134,0.795313846154,1.74932307692,
0.11307,0.784016153846,1.75678384615,
0.11481,0.778051538462,1.76780692308,
0.11659,0.769105,1.787235,
0.1184,0.75735,1.80933571429,
0.12023,0.738825,1.833445,
0.12209,0.71414,1.85361,
0.12398,0.684877333333,1.86696133333,
0.12589,0.654361428571,1.86692,
0.12784,0.637634285714,1.85355714286,
0.12982,0.646756,1.851548,
0.13183,0.6468675,1.870324375,
0.13386,0.629486666667,1.887852,
0.13594,0.609965,1.88325,
0.13804,0.6123225,1.861105,
0.14017,0.666395294118,1.85828411765,
0.14234,0.73366,1.92373,
0.14454,0.748797647059,2.04223529412,
0.14678,0.688001176471,2.15683529412,
0.14905,0.576926470588,2.21997058824,
0.15136,0.464817777778,2.23195555556,
0.1537,0.368533333333,2.216,
0.15608,0.302357777778,2.18692222222,
0.15849,0.263245,2.15413888889,
0.16094,0.238994736842,2.11926315789,
0.16343,0.213812105263,2.09434736842,
0.16596,0.192130526316,2.07233684211,
0.16853,0.173056315789,2.05202631579,
0.17113,0.1566525,2.033355,
0.17378,0.142207,2.01712,
0.17647,0.1286505,2.001047,
0.1792,0.116133333333,1.9856,
0.18197,0.10413,1.97066142857,
0.18478,0.0928062857143,1.95587047619,
0.18764,0.082494,1.94149636364,
0.19055,0.0730713043478,1.92707391304,
0.19349,0.0662088636364,1.91373227273,
0.19649,0.0600015909091,1.90016272727,
0.19953,0.0549036956522,1.88738652174,
0.20261,0.05028625,1.87606625,
0.20575,0.046085,1.86551086957,
0.20893,0.042406375,1.85560875,
0.21216,0.03877992,1.8458544,
0.21544,0.03529656,1.8363424,
0.21878,0.03224768,1.8267576,
0.22216,0.0296613846154,1.81731769231,
0.2256,0.0277369230769,1.80825384615,
0.22909,0.0270014230769,1.79932538462,
0.23263,0.0268124444444,1.79127111111,
0.23623,0.0267938888889,1.78400777778,
0.23988,0.0270185,1.77723642857,
0.24359,0.0276403214286,1.77162857143,
0.24736,0.0281192857143,1.76637571429,
0.25119,0.0283993793103,1.76151241379,
0.25507,0.0284967241379,1.7569962069,
0.25902,0.0285569333333,1.75271266667,
0.26303,0.028630483871,1.74867193548,
0.2671,0.0286993548387,1.74489677419,
0.27123,0.0287661935484,1.74123193548,
0.27542,0.02883025,1.737784375,
0.27968,0.0288835,1.73452375,
0.28401,0.0289367878788,1.73145969697,
0.2884,0.02899,1.7287,
0.29286,0.0290336470588,1.72598352941,
0.29739,0.0290869411765,1.72332029412,
0.302,0.02913,1.7208,
0.30667,0.0291800285714,1.71839828571,
0.31141,0.0292200833333,1.71612888889,
0.31623,0.0292602432432,1.71398783784,
0.32112,0.0292965945946,1.71203837838,
0.32609,0.0293301891892,1.71015783784,
0.33113,0.0293702307692,1.70839,
0.33625,0.0294065789474,1.70667236842,
0.34146,0.02943995,1.705002,
0.34674,0.0294702926829,1.70338829268,
0.3521,0.0295065,1.7018425,
0.35755,0.0295267073171,1.70036219512,
0.36308,0.0295499047619,1.6990047619,
0.36869,0.0295799285714,1.69766904762,
0.3744,0.0296134883721,1.69639302326,
0.38019,0.0296399545455,1.69520204545,
0.38607,0.0296766818182,1.69403272727,
0.39204,0.0297032173913,1.69297130435,
0.39811,0.0297300434783,1.69189847826,
0.40427,0.0297566808511,1.69096617021,
0.41052,0.0297766382979,1.69003531915,
0.41687,0.0297899375,1.68920375,
0.42332,0.0298033061224,1.68830163265,
0.42987,0.0298166734694,1.68756632653,
0.43652,0.0298300392157,1.6866972549,
0.44327,0.0298432745098,1.68583627451,
0.45013,0.0298631923077,1.68517019231,
0.45709,0.0298799807692,1.68450096154,
