WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
0.10633,0.0805697058824,1.34615647059,
0.10798,0.0800358823529,1.34635058824,
0.10965,0.0794955882353,1.34654705882,
0.11134,0.0789488235294,1.34674588235,
0.11307,0.0783891176471,1.34694941176,
0.11481,0.0778261764706,1.34715411765,
0.11659,0.0772502941176,1.34736352941,
0.1184,0.0766647058824,1.34757647059,
0.12023,0.0760726470588,1.34779176471,
0.12209,0.0754708823529,1.34801058824,
0.12398,0.0748594117647,1.34823294118,
0.12589,0.0742414705882,1.34845764706,
0.12784,0.0736105882353,1.34868705882,
0.12982,0.07297,1.34892,
0.13183,0.0723197058824,1.34915647059,
0.13386,0.0716629411765,1.34939529412,
0.13594,0.07099,1.34964,
0.13804,0.0703105882353,1.34988705882,
0.14017,0.0696214705882,1.35013764706,
0.14234,0.0689194117647,1.35039294118,
0.14454,0.0682076470588,1.35065176471,
0.14678,0.0674829411765,1.35091529412,
0.14905,0.0667485294118,1.35118235294,
0.15136,0.0660011764706,1.35145411765,
0.1537,0.0652441176471,1.35172941176,
0.15608,0.0644741176471,1.35200941176,
0.15849,0.0636944117647,1.35229294118,
0.16094,0.0629017647059,1.35258117647,
0.16343,0.0620961764706,1.35287411765,
0.16596,0.0612776470588,1.35317176471,
0.16853,0.0604461764706,1.35347411765,
0.17113,0.059605,1.35378,
0.17378,0.0587476470588,1.35409176471,
0.17647,0.0578773529412,1.35440823529,
0.1792,0.0569941176471,1.35472941176,
0.18197,0.0560979411765,1.35505529412,
0.18478,0.0551888235294,1.35538588235,
0.18764,0.0542635294118,1.35572235294,
0.19055,0.0533220588235,1.35606470588,
0.19349,0.0523708823529,1.35641058824,
0.19649,0.0514002941176,1.35676352941,
0.19953,0.0504167647059,1.35712117647,
0.20261,0.0494202941176,1.35748352941,
0.20575,0.0484044117647,1.35785294118,
0.20893,0.0481616256158,1.35828522167,
0.21216,0.0484321182266,1.35876256158,
0.21544,0.0487067980296,1.35924729064,
0.21878,0.0489865024631,1.3597408867,
0.22216,0.0492695566502,1.36024039409,
0.2256,0.049557635468,1.36074876847,
0.22909,0.0498499014778,1.36126453202,
0.23263,0.0501463546798,1.36178768473,
0.23623,0.0504478325123,1.36231970443,
0.23988,0.0507534975369,1.3628591133,
0.24359,0.0510641871921,1.36340738916,
0.24736,0.0513799014778,1.36396453202,
0.25119,0.0517006403941,1.36453054187,
0.25507,0.0520255665025,1.36510394089,
0.25902,0.0523563546798,1.36568768473,
0.26303,0.0526921674877,1.36628029557,
0.2671,0.0530330049261,1.3668817734,
0.27123,0.0533788669951,1.36749211823,
0.27542,0.0537297536946,1.36811133005,
0.27968,0.0540865024631,1.3687408867,
0.28401,0.0544491133005,1.36938078818,
0.2884,0.0548167487685,1.37002955665,
0.29286,0.0551902463054,1.37068866995,
0.29739,0.0555696059113,1.37135812808,
0.302,0.0559556650246,1.37203940887,
0.30667,0.0563467487685,1.37272955665,
0.31141,0.0567436945813,1.37343004926,
0.31623,0.0571473399015,1.37414236453,
0.32112,0.0575568472906,1.37486502463,
0.32609,0.0579730541872,1.37559950739,
0.33113,0.0583951231527,1.37634433498,
0.33625,0.0588238916256,1.37710098522,
0.34146,0.0592601970443,1.37787093596,
0.34674,0.059702364532,1.37865123153,
0.3521,0.0601512315271,1.37944334975,
0.35755,0.060607635468,1.38024876847,
0.36308,0.0610707389163,1.38106600985,
0.36869,0.0615405418719,1.38189507389,
0.3744,0.0620187192118,1.38273891626,
0.38019,0.0625035960591,1.38359458128,
0.38607,0.0629960098522,1.3844635468,
0.39204,0.0634959605911,1.38534581281,
0.39811,0.0640042857143,1.38624285714,
0.40427,0.0645201477833,1.38715320197,
0.41052,0.0649844,1.3880416,
0.41687,0.0647939,1.3885496,
0.42332,0.0646004,1.3890656,
0.42987,0.0644039,1.3895896,
0.43652,0.0642044,1.3901216,
0.44327,0.0640019,1.3906616,
0.45013,0.0637961,1.3912104,
0.45709,0.0635873,1.3917672,
0.46416,0.0633752,1.3923328,
0.47134,0.0631598,1.3929072,
0.47863,0.0629411,1.3934904,
0.48603,0.0627191,1.3940824,
0.49355,0.0624935,1.394684,
0.50119,0.0622643,1.3952952,
0.50894,0.0620318,1.3959152,
0.51681,0.0617957,1.3965448,
0.52481,0.0615557,1.3971848,
0.53293,0.0613121,1.3978344,
0.54117,0.0610649,1.3984936,
0.54954,0.0608138,1.3991632,
0.55804,0.0605588,1.3998432,
0.56667,0.0602999,1.4005336,
0.57544,0.0600368,1.4012352,
0.58434,0.0597698,1.4019472,
0.59338,0.0594986,1.4026704,
0.60256,0.0592232,1.4034048,
0.61188,0.0589436,1.4041504,
