Wavelength(Microns),Refractive Index,Extinction Coefficient,
0.10633,1.71450846154,0.890040769231j,
0.10798,1.737435,0.85211j,
0.10965,1.74587692308,0.817357692308j,
0.11134,1.74932307692,0.795313846154j,
0.11307,1.75678384615,0.784016153846j,
0.11481,1.76780692308,0.778051538462j,
0.11659,1.787235,0.769105j,
0.1184,1.80933571429,0.75735j,
0.12023,1.833445,0.738825j,
0.12209,1.85361,0.71414j,
0.12398,1.86696133333,0.684877333333j,
0.12589,1.86692,0.654361428571j,
0.12784,1.85355714286,0.637634285714j,
0.12982,1.851548,0.646756j,
0.13183,1.870324375,0.6468675j,
0.13386,1.887852,0.629486666667j,
0.13594,1.88325,0.609965j,
0.13804,1.861105,0.6123225j,
0.14017,1.85828411765,0.666395294118j,
0.14234,1.92373,0.73366j,
0.14454,2.04223529412,0.748797647059j,
0.14678,2.15683529412,0.688001176471j,
0.14905,2.21997058824,0.576926470588j,
0.15136,2.23195555556,0.464817777778j,
0.1537,2.216,0.368533333333j,
0.15608,2.18692222222,0.302357777778j,
0.15849,2.15413888889,0.263245j,
0.16094,2.11926315789,0.238994736842j,
0.16343,2.09434736842,0.213812105263j,
0.16596,2.07233684211,0.192130526316j,
0.16853,2.05202631579,0.173056315789j,
0.17113,2.033355,0.1566525j,
0.17378,2.01712,0.142207j,
0.17647,2.001047,0.1286505j,
0.1792,1.9856,0.116133333333j,
0.18197,1.97066142857,0.10413j,
0.18478,1.95587047619,0.0928062857143j,
0.18764,1.94149636364,0.082494j,
0.19055,1.92707391304,0.0730713043478j,
0.19349,1.91373227273,0.0662088636364j,
0.19649,1.90016272727,0.0600015909091j,
0.19953,1.88738652174,0.0549036956522j,
0.20261,1.87606625,0.05028625j,
0.20575,1.86551086957,0.046085j,
0.20893,1.85560875,0.042406375j,
0.21216,1.8458544,0.03877992j,
0.21544,1.8363424,0.03529656j,
0.21878,1.8267576,0.03224768j,
0.22216,1.81731769231,0.0296613846154j,
0.2256,1.80825384615,0.0277369230769j,
0.22909,1.79932538462,0.0270014230769j,
0.23263,1.79127111111,0.0268124444444j,
0.23623,1.78400777778,0.0267938888889j,
0.23988,1.77723642857,0.0270185j,
0.24359,1.77162857143,0.0276403214286j,
0.24736,1.76637571429,0.0281192857143j,
0.25119,1.76151241379,0.0283993793103j,
0.25507,1.7569962069,0.0284967241379j,
0.25902,1.75271266667,0.0285569333333j,
0.26303,1.74867193548,0.028630483871j,
0.2671,1.74489677419,0.0286993548387j,
0.27123,1.74123193548,0.0287661935484j,
0.27542,1.737784375,0.02883025j,
0.27968,1.73452375,0.0288835j,
0.28401,1.73145969697,0.0289367878788j,
0.2884,1.7287,0.02899j,
0.29286,1.72598352941,0.0290336470588j,
0.29739,1.72332029412,0.0290869411765j,
0.302,1.7208,0.02913j,
0.30667,1.71839828571,0.0291800285714j,
0.31141,1.71612888889,0.0292200833333j,
0.31623,1.71398783784,0.0292602432432j,
0.32112,1.71203837838,0.0292965945946j,
0.32609,1.71015783784,0.0293301891892j,
0.33113,1.70839,0.0293702307692j,
0.33625,1.70667236842,0.0294065789474j,
0.34146,1.705002,0.02943995j,
0.34674,1.70338829268,0.0294702926829j,
0.3521,1.7018425,0.0295065j,
0.35755,1.70036219512,0.0295267073171j,
0.36308,1.6990047619,0.0295499047619j,
0.36869,1.69766904762,0.0295799285714j,
0.3744,1.69639302326,0.0296134883721j,
0.38019,1.69520204545,0.0296399545455j,
0.38607,1.69403272727,0.0296766818182j,
0.39204,1.69297130435,0.0297032173913j,
0.39811,1.69189847826,0.0297300434783j,
0.40427,1.69096617021,0.0297566808511j,
0.41052,1.69003531915,0.0297766382979j,
0.41687,1.68920375,0.0297899375j,
0.42332,1.68830163265,0.0298033061224j,
0.42987,1.68756632653,0.0298166734694j,
0.43652,1.6866972549,0.0298300392157j,
0.44327,1.68583627451,0.0298432745098j,
0.45013,1.68517019231,0.0298631923077j,
0.45709,1.68450096154,0.0298799807692j,
0.46416,1.68383396226,0.0298933207547j,
0.47134,1.68323527273,0.0299066181818j,
0.47863,1.68259785714,0.0299201071429j,
0.48603,1.68206928571,0.0299432678571j,
0.49355,1.68160263158,0.0299565789474j,
0.50119,1.68110070175,0.0299699824561j,
0.50894,1.68066847458,0.0299832881356j,
0.51681,1.68020118644,0.0300032542373j,
0.52481,1.6797995082,0.0300200163934j,
