name,HIP name,notes,off70,off100,flux70,nois70,star70,chi70,flux100,nois100,star100,chi100,flux160,nois160,star160,chi160,metals,program
HD 10700,HIP 8102,LX X,2.969,nan,287.289,2.81,185.42,10.515,nan,nan,nan,nan,75.705,5.553,35.491,6.898,-0.52,KPGT_golofs01_1
HD 22049,HIP 16537,LX Xx,2.73,nan,834.49,18.102,192.761,31.292,nan,nan,nan,nan,209.762,35.823,36.896,4.819,-0.03,KPGT_golofs01_1
HD 197481,HIP 102409,LX Xx,1.335,nan,223.253,2.802,15.918,71.179,nan,nan,nan,nan,200.088,7.287,3.047,27.034,nan,KPGT_golofs01_1
HD 39060,HIP 27321,LX Xx,0.501,nan,8990.61,62.63,48.2,142.676,nan,nan,nan,nan,3196.01,35.694,9.226,89.273,nan,KPGT_golofs01_1 SDP_golofs01_3
HD 14082B,HIP 10679,L XXx,nan,0,nan,nan,nan,nan,39.049,5.193,1.322,7.264,32.08,8.414,0.516,3.751,0.07,KPOT_bdent_1
nan,HIP 11437,L XXx,nan,2.138,nan,nan,nan,nan,80.788,5.709,0.997,13.976,50.48,5.678,0.39,8.822,nan,KPOT_bdent_1
HD 29391,HIP 21547,X_-,nan,0.515,nan,nan,nan,nan,30.074,5.555,6.466,4.243,-3.967,6.465,2.526,-1.004,nan,KPOT_bdent_1
HD 35850,HIP 25486,X_x,nan,1.531,nan,nan,nan,nan,48.643,2.829,4.654,15.497,19.372,6.515,1.818,2.694,0.29,KPOT_bdent_1
nan,2MASS J10423011-3340162,XX,nan,1.567,nan,nan,nan,nan,79.276,2.883,0,27.498,63.555,6.158,0,10.321,nan,KPOT_bdent_1
HD 38678,HIP 27288,XXx,nan,1.608,nan,nan,nan,nan,132.493,2.159,19.925,47.342,27.69,5.2,7.783,3.818,nan,KPOT_bdent_1 KPOT_bmatthew_1
HD 141569,HIP 77542,L XX,nan,2.614,nan,nan,nan,nan,3076.17,11.889,3.805,258.388,1277.47,12.905,1.486,98.874,nan,KPOT_bdent_1 KPOT_nevans_1
GJ 14,HIP 1368,LXXX,0.757,3.232,21.766,3.439,5.537,4.704,38.692,4.598,2.713,7.822,51.406,5.841,1.06,8.619,nan,KPOT_bmatthew_1
HD 1404,HIP 1473,X_,nan,0.303,nan,nan,nan,nan,30.54,2.385,7.532,9.529,14.684,5.424,2.942,2.164,nan,KPOT_bmatthew_1
HD 2262,HIP 2072,X_x,nan,2.836,nan,nan,nan,nan,33.548,2.5,15.913,6.722,4.485,4.827,6.216,-0.358,nan,KPOT_bmatthew_1
HD 3196,HIP 2762,X_-,nan,1.686,nan,nan,nan,nan,20.535,2.32,12.593,3.304,5.923,5.205,4.919,0.193,nan,KPOT_bmatthew_1
HD 4747,HIP 3850,X_-,nan,2.612,nan,nan,nan,nan,10.304,2.121,3.371,3.258,3.166,5.502,1.317,0.336,-0.22,KPOT_bmatthew_1
