WAV,K,N,
0.10633,0.264066666667,1.400256,
0.10798,0.250427272727,1.39732272727,
0.10965,0.245113636364,1.39011136364,
0.11134,0.241518518519,1.38462962963,
0.11307,0.239,1.37963230769,
0.11481,0.239987804878,1.37741731707,
0.11659,0.242158536585,1.37789487805,
0.1184,0.244310344828,1.37981034483,
0.12023,0.246203448276,1.38902344828,
0.12209,0.238643333333,1.397696,
0.12398,0.224153333333,1.406012,
0.12589,0.206871875,1.402438125,
0.12784,0.189156521739,1.3937226087,
0.12982,0.17336,1.37226,
0.13183,0.1796,1.33999,
0.13386,0.201093333333,1.31428,
0.13594,0.237428571429,1.29005285714,
0.13804,0.301,1.28827333333,
0.14017,0.3646625,1.338155,
0.14234,0.3991,1.40745,
0.14454,0.3982,1.49776,
0.14678,0.345711111111,1.57235555556,
0.14905,0.283333333333,1.61252777778,
0.15136,0.225473684211,1.62276631579,
0.1537,0.180666666667,1.63336666667,
0.15608,0.129852631579,1.63573157895,
0.15849,0.0693888888889,1.62572777778,
0.16094,0.0230285714286,1.58293142857,
0.16343,0.00735285,1.5426745,
0.16596,0.00229964,1.512996,
0.16853,0.0006651905,1.4906895,
0.17113,0.00017875425,1.473598,
0.17378,5.44588e-05,1.459912,
0.17647,1.51044e-05,1.4483465,
0.1792,3.8299e-06,1.43836,
0.18197,1.0705955e-06,1.429787,
0.18478,2.22214e-07,1.422083,
0.18764,4.9044e-08,1.41526,
0.19055,1.0319525e-08,1.4090225,
0.19349,2.0452805e-09,1.403418,
0.19649,4.211615e-10,1.3982415,
0.19953,7.89126e-11,1.3935315,
0.20261,2e-11,1.38922345679,
0.20575,2e-11,1.38534691358,
0.20893,2e-11,1.38142098765,
0.21216,2e-11,1.3785232,
0.21544,2e-11,1.3761288,
0.21878,2e-11,1.3736906,
0.22216,2e-11,1.3712232,
0.2256,2e-11,1.368712,
0.22909,2e-11,1.3661643,
0.23263,2e-11,1.3635801,
0.23623,2e-11,1.3609521,
0.23988,2e-11,1.3582876,
0.24359,2e-11,1.3555793,
0.24736,2e-11,1.3528272,
0.25119,2e-11,1.3504954,
0.25507,2e-11,1.3491762,
0.25902,2e-11,1.3478332,
0.26303,2e-11,1.3464698,
0.2671,2e-11,1.345086,
0.27123,2e-11,1.3436818,
0.27542,2e-11,1.3422572,
0.27968,2e-11,1.3408088,
0.28401,2e-11,1.3393366,
0.2884,2e-11,1.337844,
0.29286,2e-11,1.3363276,
0.29739,2e-11,1.3347874,
0.302,2e-11,1.33354,
0.30667,2e-11,1.3326994,
0.31141,2e-11,1.3318462,
0.31623,2e-11,1.3309786,
0.32112,2e-11,1.3300984,
0.32609,2e-11,1.3292038,
0.33113,2e-11,1.3282966,
0.33625,2e-11,1.327375,
0.34146,2e-11,1.3264372,
0.34674,2e-11,1.3254868,
0.3521,2e-11,1.3246585,
0.35755,2e-11,1.32403175,
0.36308,2e-11,1.3233958,
0.36869,2e-11,1.32275065,
0.3744,2e-11,1.322094,
0.38019,2e-11,1.32142815,
0.38607,2e-11,1.32075195,
0.39204,2.07446e-11,1.3201164,
0.39811,2.296015e-11,1.3195701,
0.40427,2.494808e-11,1.3190157,
0.41052,2.693232e-11,1.3184584,
0.41687,2.989142e-11,1.3179504,
0.42332,3.46866e-11,1.3174676,
0.42987,4.126935e-11,1.3170091,
0.43652,5.527456e-11,1.3165436,
0.44327,7.239517e-11,1.3161038,
0.45013,9.291143e-11,1.3156922,
0.45709,1.2082799e-10,1.3152746,
0.46416,1.587496e-10,1.3148504,
0.47134,2.07727e-10,1.314433,
0.47863,2.737015e-10,1.3140685,
0.48603,3.651533e-10,1.3136985,
0.49355,4.781535e-10,1.3133225,
0.50119,6.144493e-10,1.3129524,
0.50894,7.808418e-10,1.3126424,
0.51681,9.891044e-10,1.3122595,
0.52481,1.236173e-09,1.3119076,
0.53293,1.527372e-09,1.3116121,
0.54117,1.868692e-09,1.3113532,
0.54954,2.267104e-09,1.3110184,
0.55804,2.7312e-09,1.3106784,
0.56667,3.253874e-09,1.3103999,
0.57544,3.840712e-09,1.3101368,
