N,Identifier,typed ident,Otype,RA D,RA M,RA S,RA DD,DEC D,DEC M,DEC S,DEC DD,"FK5 (J2000,2000) RA","FK5 (J2000,2000) DEC",Galactic Lon,Galactic Lat,Proper motions,Parallaxes,Redshift,Rad. vel.,cz,Mag U,Mag B,Mag V,Mag R,Mag I,Mag G,Mag J,Mag H,Mag K,Mag u,Mag g,Mag r,Mag i,Mag z,Sp type,Morph. type,Angular size,#Par.,#Child,#Sibl.,#ref_1850 - 2017,#notes1850 - 2017,#mes
1,* tau Cet,HD 10700,PM*,1,44,4.08338,26.01701408,-15,-56,-14.9262,-14.0625205,01 44 04.083,-15 56 14.93,173.1007,-73.4397,-1721.05 854.16,273.96,-0.000056,-16.68,-16.68,4.43,4.22,3.5,2.88,2.41,nan,2.14,1.72,1.68,nan,nan,nan,nan,nan,G8.5V,~,~ ~ ~,nan,1,nan,949,1,22
2,* eps Eri,HD 22049,BY*,3,32,55.84496,53.23268733,-9,-27,-29.7312,-8.541741333,03 32 55.845,-09 27 29.73,195.8446,-48.0513,-975.17 19.49,310.94,0.000055,16.43,16.43,5.19,4.61,3.73,3,2.54,nan,2.23,1.75,1.67,nan,nan,nan,nan,nan,K2Vk:,~,~ ~ ~,nan,1,nan,1507,1,24
3,V* AU Mic,HD 197481,BY*,20,45,9.53147,311.2897145,-31,-20,-27.2425,-31.34090069,20 45 09.531,-31 20 27.24,12.6546,-36.8025,279.96 -360.61,100.91,-0.000015,-4.5,-4.5,nan,10.05,8.627,9.078,6.593,nan,5.436,4.831,4.529,nan,9.579,8.636,7.355,nan,M1Ve,~,~ ~ ~,3,nan,401,750,0,21
4,* bet Pic,HD 39060,*,5,47,17.08769,86.82119871,-51,-3,-59.4412,-51.06651144,05 47 17.088,-51 03 59.44,258.3638,-30.6117,4.65 83.10,51.44,0.000067,20,20,4.13,4.03,3.86,3.74,3.58,nan,3.57,3.51,3.48,nan,nan,nan,nan,nan,A6V,~,~ ~ ~,1,12,274,1422,1,22
5,HD 14082B,HD 14082B,*,2,17,24.73417,34.35305904,28,44,30.3309,28.74175858,02 17 24.734,+28 44 30.33,144.8117,-30.4514,80.15 -78.40,36.58,0.000019,5.7,5.7,nan,8.33,7.74,nan,nan,nan,6.57,6.355,6.262,nan,nan,nan,nan,nan,G2V,~,~ ~ ~,2,nan,274,58,1,13
6,V* AG Tri,HIP 11437,BY*,2,27,29.25447,36.87189363,30,58,24.6135,30.97350375,02 27 29.254,+30 58 24.61,146.1042,-27.5404,79.78 -70.02,25.03,0.000022,6.51,6.51,nan,11.3,10.12,9.32,8.78,nan,7.87,7.235,7.08,nan,nan,nan,nan,nan,K7V,~,~ ~ ~,3,nan,317,57,1,10
7,* c Eri,HD 29391,PM*,4,37,36.13234,69.40055142,-2,-28,-24.7749,-2.473548583,04 37 36.132,-02 28 24.77,198.6126,-30.6577,44.22 -64.39,33.98,0.000042,12.6,12.6,nan,5.485,5.223,nan,nan,nan,4.744,4.77,4.537,nan,nan,nan,nan,nan,F0IV,~,~ ~ ~,2,1,274,105,0,19
8,V* AF Lep,HD 35850,RS*,5,27,4.76335,81.76984729,-11,-54,-3.4774,-11.90096594,05 27 04.763,-11 54 03.48,214.3741,-24.0411,17.55 -50.23,36.98,0.000068,20.24,20.24,nan,6.812,6.309,nan,nan,nan,5.268,5.087,4.926,nan,nan,nan,nan,nan,F8V(n)k:,~,~ ~ ~,1,nan,274,163,0,17
9,V* CE Ant,2MASS J10423011-3340162,TT*,10,42,30.112,160.6254667,-33,-40,-16.21,-33.67116944,10 42 30.112,-33 40 16.21,274.3398,21.9448, -122.2 -29.3,nan,0.000038,11.4,11.4,nan,12.21,10.91,nan,9.1,nan,7.792,7.125,6.899,nan,nan,nan,nan,nan,M2Ve,~,~ ~ ~,1,nan,141,113,1,7
10,* zet Lep,HD 38678,*,5,46,57.34096,86.73892067,-14,-49,-19.0199,-14.82194997,05 46 57.341,-14 49 19.02,219.3993,-20.8265, -14.54 -1.07,46.28,0.000082,24.7,24.7,nan,3.655,3.545,nan,nan,nan,3.39,3.314,3.286,nan,nan,nan,nan,nan,A2IV-V(n),~,~ ~ ~,nan,nan,nan,255,0,19
11,HD 141569,HD 141569,pr*,15,49,57.74785,237.490616,-3,-55,-16.343,-3.921206389,15 49 57.748,-03 55 16.34,4.1772,36.9193, -18.41 -19.25,8.61,-0.000021,-6.4,-6.4,7.22,7.2,7.12,7,7.04,nan,6.872,6.861,6.821,nan,nan,nan,nan,nan,A2V(e)kB9mB9_lB,~,~ ~ ~,nan,nan,nan,381,0,16
12,BD+40 45,GJ 14,PM*,0,17,6.37485,4.276561875,40,56,53.8667,40.94829631,00 17 06.375,+40 56 53.87,115.9753,-21.4593,568.24 83.16,66.65,0.00001,2.881,2.88,nan,10.36,9,8.2,7.5,nan,6.385,5.748,5.577,nan,nan,nan,nan,nan,M0.5V,~,~ ~ ~,nan,nan,nan,89,0,9
13,* sig And,HD 1404,**,0,18,19.65745,4.581906042,36,47,6.8107,36.78522519,00 18 19.657,+36 47 06.81,115.5855,-25.6138, -65.67 -42,24.2,-0.000027,-8.2,-8.2,4.64,4.57,4.52,4.44,4.44,nan,4.41,4.38,4.38,nan,nan,nan,nan,nan,A2V,~,~ ~ ~,nan,nan,nan,123,0,17
14,* kap Phe,HD 2262,*,0,26,12.20183,6.550840958,-43,-40,-47.3929,-43.67983136,00 26 12.202,-43 40 47.39,318.4156,-72.6817,106.20 32.15,42,0.000038,11.3,11.3,4.22,4.11,3.94,3.78,3.7,nan,3.63,3.54,3.53,nan,nan,nan,nan,nan,A5IVn,~,~ ~ ~,nan,nan,nan,121,0,19
15,* 13 Cet,HD 3196,RS*,0,35,14.87968,8.811998667,-3,-35,-34.2367,-3.592843528,00 35 14.880,-03 35 34.24,112.8992,-66.1487,408.34 -35.22,47.05,0.000035,10.37,10.37,nan,5.76,5.2,nan,nan,nan,4.348,3.964,3.9,nan,nan,nan,nan,nan,F7V+G4V,~,0.0033 0.0 295,nan,2,nan,244,0,16
16,HD 4747,HD 4747,SB*,0,49,26.76537,12.36152238,-23,-12,-44.9359,-23.21248219,00 49 26.765,-23 12 44.94,116.2592,-86.0584,516.92 120.05,53.51,0.00003,8.88,8.88,8.244,7.927,7.155,6.732,6.344,nan,5.813,5.433,5.305,nan,nan,nan,nan,nan,G8/K0V,~,~ ~ ~,1,1,144,95,0,14
17,CD-68 47,GJ 54,**,1,10,22.90274,17.59542808,-67,-26,-41.8529,-67.44495914,01 10 22.903,-67 26 41.85,300.1323,-49.5802,392.75 571.25,122.04,0.000087,26,26,12.515,11.368,9.824,8.73,7.353,nan,5.997,5.409,5.132,nan,nan,nan,nan,nan,M2.5V,~,~ ~ ~,nan,nan,nan,66,0,14
18,* nu. Phe,HD 7570,PM*,1,15,11.1215,18.79633958,-45,-31,-53.9954,-45.53166539,01 15 11.121,-45 31 54.00,290.0735,-70.9991,665.13 177.63,66.16,0.000042,12.7,12.7,5.65,5.54,4.96,4.47,4.11,nan,4,3.71,3.67,nan,nan,nan,nan,nan,F9VFe+0.4,~,~ ~ ~,nan,nan,nan,205,0,18
19,* chi Cet,HD 11171,*,1,49,35.10316,27.39626317,-10,-41,-11.0674,-10.68640761,01 49 35.103,-10 41 11.07,165.482,-68.6085, -148.11 -93.43,43.13,-0.000006,-1.8,-1.8,5.04,5,4.68,4.38,4.22,nan,3.656,3.47,3.872,nan,nan,nan,nan,nan,F0V,~,~ ~ ~,2,nan,93,155,0,17
20,* bet Tri,HD 13161,SB*,2,9,32.62712,32.38594633,34,59,14.2694,34.98729706,02 09 32.627,+34 59 14.27,140.548,-25.1984,149.16 -39.10,25.71,0.000041,12.3,12.3,3.26,3.14,3,2.86,2.78,nan,2.78,2.53,2.66,nan,nan,nan,nan,nan,A5III,~,~ ~ ~,nan,nan,nan,193,0,19
21,* gam Tri,HD 14055,PM*,2,17,18.86703,34.32861263,33,50,49.895,33.84719306,02 17 18.867,+33 50 49.90,142.6496,-25.7152,44.64 -52.57,29.04,0.000033,9.9,9.9,nan,4.03,4,nan,4.05,nan,3.802,3.862,3.958,nan,nan,nan,nan,nan,A1Vnn,~,~ ~ ~,1,nan,24,164,0,19
22,* zet Eri,HD 20320,SB*,3,15,50.02656,48.958444,-8,-49,-11.022,-8.819728333,03 15 50.027,-08 49 11.02,191.5786,-51.3084,-0.35 46.10,29.72,-0.000019,-5.8,-5.8,5.11,5.03,4.8,4.59,4.47,nan,4.4,4.26,4.225,nan,nan,nan,nan,nan,kA4hA9mA9V,~,~ ~ ~,nan,nan,nan,122,0,19
23,* e Eri,HD 20794,PM*,3,19,55.65093,49.98187888,-43,-4,-11.2175,-43.06978264,03 19 55.651,-43 04 11.22,250.7462,-56.0769,3038.34 726.58,165.47,0.000292,87.4,87.41,5.2,4.98,4.27,3.65,3.25,nan,2.99,2.6,2.53,nan,nan,nan,nan,nan,G8III,~,~ ~ ~,nan,3,nan,337,1,20
24,* 10 Tau,HD 22484,PM*,3,36,52.38323,54.21826346,0,24,5.9829,0.401661917,03 36 52.383,+00 24 05.98,185.1245,-41.667, -232.6 -481.92,71.62,0.000093,27.87,27.87,5.23,5.15,4.3,4.09,3.77,nan,3.26,3.01,2.91,nan,nan,nan,nan,nan,F9IV-V,~,~ ~ ~,nan,nan,nan,478,0,23
25,HD 23281,HD 23281,*,3,43,33.83375,55.89097396,-10,-29,-8.3589,-10.48565525,03 43 33.834,-10 29 08.36,199.0542,-46.2764, -7.76 -17.76,23.57,0.000051,15.4,15.4,5.88,5.8,5.61,5.4,5.3,nan,5.208,5.166,5.077,nan,nan,nan,nan,nan,A5III-IV,~,~ ~ ~,nan,nan,nan,66,0,16
26,* tau06 Eri,HD 23754,PM*,3,46,50.88819,56.71203413,-23,-14,-59.0046,-23.2497235,03 46 50.888,-23 14 59.00,217.3512,-50.3242, -158.84 -528.95,56.73,0.000023,6.9,6.9,nan,4.65,4.2,nan,nan,nan,3.61,3.393,3.353,nan,nan,nan,nan,nan,F5IV-V,~,~ ~ ~,nan,nan,nan,154,0,19
27,* gam Dor,HD 27290,gD*,4,16,1.58584,64.00660767,-51,-29,-11.9405,-51.48665014,04 16 01.586,-51 29 11.94,259.8348,-44.785,100.79 183.32,48.87,0.000084,25.2,25.2,nan,4.55,4.2,nan,nan,nan,3.683,3.469,3.514,nan,nan,nan,nan,nan,F1V,~,~ ~ ~,nan,nan,nan,254,0,19
28,HD 32450,HD 32450,PM*,5,2,28.4203,75.61841792,-21,-15,-23.9203,-21.25664453,05 02 28.420,-21 15 23.92,221.723,-33.0232, -143.42 -221.81,116.59,-0.000037,-11,-11,10.97,9.77,8.317,7.405,6.492,nan,5.45,4.853,4.6,nan,10.134,8.907,7.675,nan,K7V,~,~ ~ ~,nan,2,nan,82,1,14
